custom_date,PM10 (ug/m3),PM2.5 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),CO (mg/m3),SO2 (ug/m3),NH3 (ug/m3),NOx (ppb),PM10_SubIndex,PM2.5_SubIndex,NO2_SubIndex,O3_SubIndex,CO_SubIndex,SO2_SubIndex,NH3_SubIndex,AQI
2016-07-01,50.79,12.24,38.51,14.0,0.42,6.3,7.74,29.56,,20.4,48.14,14.0,21.0,7.88,1.94,48.14
2016-07-02,65.61,19.17,42.05,13.0,0.86,4.88,8.35,35.55,65.61,31.95,42.58,13.0,43.0,6.1,2.09,65.61
2016-07-03,39.48,12.24,43.63,13.68,0.77,5.44,7.86,30.64,39.48,20.4,44.56,13.68,38.5,6.8,1.97,44.56
2016-07-04,16.69,5.25,36.64,14.13,0.63,6.04,7.52,22.68,16.69,8.75,45.8,14.13,31.5,7.55,1.88,45.8
2016-07-05,20.54,5.39,41.68,14.28,0.76,4.99,6.96,32.2,20.54,8.98,42.11,14.28,38.0,6.24,1.74,42.11
2016-07-06,32.18,9.15,36.03,14.62,0.77,4.65,6.52,31.15,32.18,15.25,45.04,14.62,38.5,5.81,1.63,45.04
2016-07-07,39.18,12.15,37.85,14.47,0.34,5.2,6.35,31.39,39.18,20.25,47.31,14.47,17.0,6.5,1.59,47.31
2016-07-08,56.26,17.4,36.63,14.48,1.18,4.01,5.85,25.84,56.26,29.0,45.79,14.48,10.8,5.01,1.46,56.26
2016-07-09,45.96,15.89,35.35,14.6,0.73,5.25,5.36,24.53,45.96,26.48,44.19,14.6,36.5,6.56,1.34,45.96
2016-07-10,39.74,13.53,32.84,13.76,0.65,5.67,5.09,24.34,39.74,22.55,41.05,13.76,32.5,7.09,1.27,41.05
2016-07-11,39.43,12.08,34.94,14.09,0.71,5.65,5.22,27.53,39.43,20.13,43.67,14.09,35.5,7.06,1.3,43.67
2016-07-12,58.42,19.33,42.33,14.6,0.91,4.88,6.43,28.54,58.42,32.22,42.93,14.6,45.5,6.1,1.61,58.42
2016-07-13,44.57,15.27,42.33,15.32,0.86,5.13,8.05,33.79,44.57,25.45,42.93,15.32,43.0,6.41,2.01,44.57
2016-07-14,38.8,14.57,45.32,14.64,0.37,5.63,9.64,32.5,38.8,24.28,46.68,14.64,18.5,7.04,2.41,46.68
2016-07-15,52.14,18.61,41.82,13.68,0.39,5.49,10.78,35.58,52.14,31.02,42.29,13.68,19.5,6.86,2.69,52.14
2016-07-16,48.39,22.48,47.8,11.85,1.12,6.07,11.48,44.96,48.39,37.47,49.8,11.85,7.53,7.59,2.87,49.8
2016-07-17,24.28,10.88,49.04,11.9,0.75,4.07,10.43,35.71,24.28,18.13,51.36,11.9,37.5,5.09,2.61,51.36
2016-07-18,37.79,12.88,44.44,17.59,0.94,4.05,10.17,38.94,37.79,21.47,45.58,17.59,47.0,5.06,2.54,47.0
2016-07-19,44.7,12.73,46.38,14.93,0.23,5.34,9.2,34.7,44.7,21.22,48.02,14.93,11.5,6.67,2.3,48.02
2016-07-20,39.94,13.71,48.21,14.13,1.31,5.8,8.9,48.88,39.94,22.85,50.32,14.13,17.88,7.25,2.23,50.32
2016-07-21,38.5,19.83,46.69,12.99,5.44,4.29,9.48,36.2,38.5,33.05,48.41,12.99,45.11,5.36,2.37,48.41
2016-07-22,28.75,8.37,46.59,14.13,0.35,4.71,8.3,31.49,28.75,13.95,48.28,14.13,17.5,5.89,2.08,48.28
2016-07-23,43.65,14.17,43.3,15.5,1.83,4.46,7.96,60.45,43.65,23.62,44.15,15.5,46.19,5.58,1.99,46.19
2016-07-24,29.26,11.07,53.76,12.86,0.42,4.52,9.57,34.36,29.26,18.45,57.29,12.86,21.0,5.65,2.39,57.29
2016-07-25,33.06,12.52,53.59,14.64,0.5,4.36,9.12,41.64,33.06,20.87,57.07,14.64,25.0,5.45,2.28,57.07
2016-07-26,39.46,17.74,55.04,13.16,2.21,4.25,9.55,43.14,39.46,29.57,58.9,13.16,4.63,5.31,2.39,58.9
2016-07-27,51.32,25.64,57.39,13.44,1.03,5.62,9.76,35.62,51.32,42.73,61.85,13.44,,7.03,2.44,61.85
2016-07-28,28.11,11.94,54.37,14.77,1.17,3.99,8.79,43.78,28.11,19.9,58.05,14.77,10.26,4.99,2.2,58.05
2016-07-29,20.41,6.65,44.91,14.5,0.82,6.05,8.14,34.11,20.41,11.08,46.17,14.5,41.0,7.56,2.04,46.17
2016-07-30,27.09,11.09,43.17,15.87,0.92,5.11,7.35,37.01,27.09,18.48,43.98,15.87,46.0,6.39,1.84,46.0
2016-07-31,33.93,11.36,36.99,16.79,0.8,5.49,7.5,34.24,33.93,18.93,46.24,16.79,40.0,6.86,1.88,46.24
2016-08-01,43.94,10.93,34.7,15.88,0.73,5.66,7.7,30.26,43.94,18.22,43.38,15.88,36.5,7.08,1.93,43.94
2016-08-02,43.77,11.82,33.72,16.97,0.28,5.16,6.98,24.62,43.77,19.7,42.15,16.97,14.0,6.45,1.75,43.77
2016-08-03,39.87,11.49,39.28,15.21,0.28,4.72,6.54,26.26,39.87,19.15,49.1,15.21,14.0,5.9,1.64,49.1
2016-08-04,27.29,6.97,35.5,22.62,0.28,5.93,6.0,23.67,27.29,11.62,44.38,22.62,14.0,7.41,1.5,44.38
2016-08-05,29.6,6.85,35.23,19.02,2.01,4.89,5.37,27.64,29.6,11.42,44.04,19.02,,6.11,1.34,44.04
2016-08-06,38.34,12.61,42.66,17.39,0.78,5.43,5.0,31.63,38.34,21.02,43.34,17.39,39.0,6.79,1.25,43.34
2016-08-07,33.3,11.2,46.47,15.39,0.8,5.35,5.24,36.24,33.3,18.67,48.13,15.39,40.0,6.69,1.31,48.13
2016-08-08,41.5,9.28,46.23,20.84,0.76,5.1,5.35,32.23,41.5,15.47,47.83,20.84,38.0,6.38,1.34,47.83
2016-08-09,44.34,11.51,47.52,15.56,0.74,5.03,5.92,37.42,44.34,19.18,49.45,15.56,37.0,6.29,1.48,49.45
2016-08-10,41.08,10.61,48.06,17.1,0.79,4.93,6.31,37.1,41.08,17.68,50.13,17.1,39.5,6.16,1.58,50.13
2016-08-11,45.2,11.97,46.72,17.65,0.76,5.12,7.14,20.64,45.2,19.95,48.44,17.65,38.0,6.4,1.78,48.44
2016-08-12,60.57,12.46,53.66,14.84,0.3,4.36,7.16,26.65,60.57,20.77,57.16,14.84,15.0,5.45,1.79,60.57
2016-08-13,60.78,14.21,51.86,16.97,0.79,6.58,6.57,43.13,60.78,23.68,54.9,16.97,39.5,8.22,1.64,60.78
2016-08-14,62.84,14.84,47.77,17.44,0.39,4.5,6.06,39.18,62.84,24.73,49.76,17.44,19.5,5.62,1.51,62.84
2016-08-15,58.34,12.63,45.02,19.81,0.91,4.16,5.74,37.54,58.34,21.05,46.31,19.81,45.5,5.2,1.44,58.34
2016-08-16,48.27,14.18,51.18,19.0,0.9,5.24,6.14,46.35,48.27,23.63,54.05,19.0,45.0,6.55,1.53,54.05
2016-08-17,44.56,10.34,49.9,18.45,0.79,4.88,6.57,42.83,44.56,17.23,52.44,18.45,39.5,6.1,1.64,52.44
2016-08-18,40.56,10.25,49.01,17.21,0.91,4.04,7.11,38.58,40.56,17.08,51.32,17.21,45.5,5.05,1.78,51.32
2016-08-19,44.78,12.48,50.85,17.03,0.78,5.61,7.21,41.19,44.78,20.8,53.63,17.03,39.0,7.01,1.8,53.63
2016-08-20,62.92,20.68,55.62,17.18,1.03,4.9,7.81,43.75,62.92,34.47,59.63,17.18,,6.12,1.95,62.92
2016-08-21,51.14,15.3,55.84,15.55,0.8,5.45,8.88,43.79,51.14,25.5,59.9,15.55,40.0,6.81,2.22,59.9
2016-08-22,58.83,18.3,52.85,16.57,0.98,6.23,9.2,40.02,58.83,30.5,56.14,16.57,49.0,7.79,2.3,58.83
2016-08-23,52.98,13.44,46.08,20.21,0.79,4.9,9.5,40.86,52.98,22.4,47.64,20.21,39.5,6.12,2.38,52.98
2016-08-24,32.85,8.65,47.38,20.68,0.8,4.75,9.77,38.98,32.85,14.42,49.27,20.68,40.0,5.94,2.44,49.27
2016-08-25,31.4,8.25,49.1,20.36,0.97,5.21,9.11,39.33,31.4,13.75,51.43,20.36,48.5,6.51,2.28,51.43
2016-08-26,56.0,13.94,47.11,18.12,0.81,4.41,11.01,35.98,56.0,23.23,48.93,18.12,40.5,5.51,2.75,56.0
2016-08-27,47.29,10.75,43.63,15.2,0.83,4.64,13.24,35.15,47.29,17.92,44.56,15.2,41.5,5.8,3.31,47.29
2016-08-28,40.95,11.08,46.04,19.19,0.86,3.52,12.26,40.62,40.95,18.47,47.59,19.19,43.0,4.4,3.06,47.59
2016-08-29,32.05,9.7,45.67,20.24,0.85,5.59,11.62,36.96,32.05,16.17,47.12,20.24,42.5,6.99,2.9,47.12
2016-08-30,28.81,10.95,50.19,17.53,0.85,4.2,12.05,40.53,28.81,18.25,52.8,17.53,42.5,5.25,3.01,52.8
2016-08-31,31.35,11.45,41.03,13.43,0.84,5.3,11.23,35.68,31.35,19.08,41.29,13.43,42.0,6.62,2.81,42.0
2016-09-01,28.57,7.97,47.67,16.42,0.85,6.5,9.66,39.71,28.57,13.28,49.64,16.42,42.5,8.12,2.42,49.64
2016-09-02,41.58,14.04,46.53,20.11,2.06,7.1,8.15,42.16,41.58,23.4,48.2,20.11,,8.88,2.04,48.2
2016-09-03,33.03,10.4,44.69,16.09,0.54,6.7,8.9,61.68,33.03,17.33,45.89,16.09,27.0,8.38,2.23,45.89
2016-09-04,,,,,,,,,,,,,,,,
2016-09-05,,,,,,,,,,,,,,,,
2016-09-06,,,,,,,,,,,,,,,,
2016-09-07,,,,,,,,,,,,,,,,
2016-09-08,49.5,18.96,55.52,14.73,0.29,4.0,7.97,36.93,49.5,31.6,59.5,14.73,14.5,5.0,1.99,59.5
2016-09-09,54.84,20.13,59.53,13.81,0.87,4.58,8.68,40.29,54.84,33.55,64.54,13.81,43.5,5.72,2.17,64.54
2016-09-10,51.98,20.01,60.13,15.6,0.88,7.02,9.5,43.32,51.98,33.35,65.29,15.6,44.0,8.77,2.38,65.29
2016-09-11,41.09,17.21,50.05,22.34,0.71,5.08,8.35,38.52,41.09,28.68,52.63,22.34,35.5,6.35,2.09,52.63
2016-09-12,46.63,18.49,49.01,16.62,0.87,7.07,8.8,38.1,46.63,30.82,51.32,16.62,43.5,8.84,2.2,51.32
2016-09-13,44.64,17.36,49.56,16.61,0.77,4.97,9.76,37.12,44.64,28.93,52.01,16.61,38.5,6.21,2.44,52.01
2016-09-14,36.21,16.47,50.37,18.02,0.74,6.47,8.61,40.05,36.21,27.45,53.03,18.02,37.0,8.09,2.15,53.03
2016-09-15,26.43,12.08,48.96,17.94,0.92,4.19,7.7,38.93,26.43,20.13,51.26,17.94,46.0,5.24,1.93,51.26
2016-09-16,29.1,9.87,47.09,17.89,0.82,6.01,7.46,41.29,29.1,16.45,48.91,17.89,41.0,7.51,1.86,48.91
2016-09-17,38.6,13.77,46.23,19.02,0.76,5.49,8.58,38.21,38.6,22.95,47.83,19.02,38.0,6.86,2.15,47.83
2016-09-18,33.52,11.74,50.59,17.15,0.79,4.12,9.1,41.36,33.52,19.57,53.31,17.15,39.5,5.15,2.27,53.31
